7,0
6,1
4,2
7,3
13,4
11,5
14,6
12,7
18,8
19,9
15,10
14,11
22,12
16,13
21,14
20,15
23,16
21,17
28,18
22,19
25,20
22,21
31,22
26,23
34,24
26,25
30,26
34,27
30,28
35,29
33,30
39,31
35,32
34,33
37,34
39,35
42,36
45,37
39,38
42,39
45,40
49,41
49,42
51,43
52,44
53,45
47,46
56,47
52,48
56,49
57,50
55,51
54,52
63,53
57,54
56,55
66,56
58,57
65,58
65,59
65,60
67,61
67,62
73,63
71,64
66,65
74,66
74,67
69,68
74,69
75,70
74,71
76,72
76,73
83,74
84,75
80,76
87,77
86,78
80,79
85,80
91,81
92,82
93,83
92,84
88,85
96,86
93,87
92,88
92,89
100,90
95,91
100,92
94,93
101,94
102,95
105,96
107,97
108,98
103,99
